,name,parameters_number,train_loss,val_loss
20,"trainLSTMAE_0b894_00009_9_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_lay_2023-01-23_15-01-33",13228,0.5887138300016522,0.6965906442701817
23,"trainLSTMAE_0b894_00012_12_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_la_2023-01-23_15-02-24",13228,0.5523816758766771,0.5333408792316914
31,"trainLSTMAE_0b894_00031_31_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-07-10",43788,0.5758567889034748,0.5332104283571243
25,"trainLSTMAE_0b894_00027_27_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_la_2023-01-23_15-06-41",12408,0.5466751397401094,0.4956643213331699
3,"trainLSTMAE_0b894_00030_30_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-06-56",153912,0.5243901754170657,0.4923361468315124
13,"trainLSTMAE_0b894_00029_29_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-06-44",43788,0.5546116703003645,0.4734558814764023
4,"trainLSTMAE_0b894_00005_5_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_la_2023-01-23_15-00-28",43788,0.5546116703003645,0.4734558814764023
14,"trainLSTMAE_0b894_00034_34_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-08-24",153912,0.6111154856160284,0.4716321402788162
35,"trainLSTMAE_0b894_00019_19_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-03-53",157132,0.4946210155263543,0.4440514981746674
30,"trainLSTMAE_0b894_00035_35_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-08-47",157132,0.4946210155263543,0.4440514981746674
0,"trainLSTMAE_0b894_00023_23_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_la_2023-01-23_15-04-46",12408,0.553276018872857,0.436129085868597
6,"trainLSTMAE_0b894_00026_26_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-05-40",42168,0.6212343372032046,0.4234443064033985
33,"trainLSTMAE_0b894_00015_15_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-03-03",37816,0.4372214062139392,0.41595074146986
36,"trainLSTMAE_0b894_00016_16_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-03-15",157132,0.4883343257755041,0.415225867331028
26,"trainLSTMAE_0b894_00003_3_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_lay_2023-01-23_14-59-45",13228,0.3629276082664728,0.3996505681425333
9,"trainLSTMAE_0b894_00014_14_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_l_2023-01-23_15-02-50",26892,0.4528081987053156,0.3835546129196882
27,"trainLSTMAE_0b894_00022_22_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_la_2023-01-23_15-04-32",12076,0.4970885279774666,0.3810781173408031
5,"trainLSTMAE_0b894_00013_13_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_l_2023-01-23_15-02-37",87352,0.4024130558595061,0.3787543105334043
11,"trainLSTMAE_0b894_00033_33_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_l_2023-01-23_15-07-55",87352,0.4021445732936263,0.3562773618847131
21,"trainLSTMAE_0b894_00004_4_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_lay_2023-01-23_15-00-11",11256,0.514151277244091,0.3523057706654072
7,"trainLSTMAE_0b894_00036_36_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_la_2023-01-23_15-09-39",8876,0.4640546405315399,0.3171900168806314
12,"trainLSTMAE_0b894_00038_38_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_l_2023-01-23_15-09-56",26892,0.4184854073822498,0.3078745710104704
17,"trainLSTMAE_0b894_00017_17_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_la_2023-01-23_15-03-28",11256,0.4607639344036579,0.2895891381055117
32,"trainLSTMAE_0b894_00006_6_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_lay_2023-01-23_15-00-41",11256,0.4607639344036579,0.2895891381055117
29,"trainLSTMAE_0b894_00025_25_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-05-00",137016,0.3687538678012788,0.2701401451230049
39,"trainLSTMAE_0b894_00011_11_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-02-11",39436,0.3566923391632736,0.262332214564085
18,"trainLSTMAE_0b894_00032_32_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_la_2023-01-23_15-07-32",7724,0.3602396828867495,0.2240320234745741
19,"trainLSTMAE_0b894_00028_28_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_la_2023-01-23_15-06-42",7724,0.3533637186512351,0.2019760098308324
28,"trainLSTMAE_0b894_00000_0_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_la_2023-01-23_14-58-43",137016,0.1605277164652943,0.1599592774361372
37,"trainLSTMAE_0b894_00018_18_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=2,n_l_2023-01-23_15-03-40",140236,0.1517627931013703,0.1584526640549302
2,"trainLSTMAE_0b894_00007_7_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_la_2023-01-23_15-00-54",20920,0.1421183240227401,0.1427311161160469
34,"trainLSTMAE_0b894_00037_37_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_l_2023-01-23_15-09-53",22540,0.1415976960398256,0.1412982940301299
16,"trainLSTMAE_0b894_00010_10_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_la_2023-01-23_15-01-59",7724,0.1241466693952679,0.1262405711784958
1,"trainLSTMAE_0b894_00001_1_batch_size=1000,embedding_dim=8,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_lay_2023-01-23_14-59-07",7724,0.1241466693952679,0.1262405711784958
22,"trainLSTMAE_0b894_00024_24_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_l_2023-01-23_15-05-00",73676,0.1202001598663628,0.1225483522936701
8,"trainLSTMAE_0b894_00008_8_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_la_2023-01-23_15-01-07",73676,0.1202001598663628,0.1225483522936701
38,"trainLSTMAE_0b894_00039_39_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_l_2023-01-23_15-10-13",22540,0.0336221778998151,0.0352053071372211
24,"trainLSTMAE_0b894_00021_21_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_l_2023-01-23_15-04-19",20920,0.0330276547046378,0.0346807335317134
15,"trainLSTMAE_0b894_00020_20_batch_size=1000,embedding_dim=16,epochs=200,latent_dim=40,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_l_2023-01-23_15-04-07",20920,0.0329457472986541,0.0345857939124107
10,"trainLSTMAE_0b894_00002_2_batch_size=1000,embedding_dim=32,epochs=200,latent_dim=60,lr=0.0009,lr_patience=5,n_layers_cell_1=1,n_la_2023-01-23_14-59-20",90572,0.026752873326186,0.0272206416074186
